解析度,像素X,像素Y,世界X_深度_cm,世界Y_橫向_cm
1280x720,129,451,300,-200
1280x720,425,369,300,0
1280x720,741,462,300,200
1280x720,167,399,500,-200
1280x720,423,299,500,0
1280x720,656,406,500,200
1280x720,261,337,1000,-200
1280x720,420,229,1000,0
1280x720,552,339,1000,200
1280x720,326,295,2000,-200
1280x720,419,185,2000,0
1280x720,487,297,2000,200
1280x720,375,279,3000,-200
1280x720,421,172,3000,0
1280x720,460,279,3000,200
1280x720,303,270,4000,-200
1280x720,421,163,4000,0
1280x720,314,271,4000,200
1280x720,371,265,5000,-200
1280x720,421,156,5000,0
1280x720,439,265,5000,200
1280x720,377,261,6000,-200
1280x720,421,154,6000,0
1280x720,433,262,6000,200
