解析度,像素X,像素Y,世界X_深度_cm,世界Y_橫向_cm
1280x720,125,671,300,-200
1280x720,609,676,300,0
1280x720,1100,685,300,200
1280x720,243,596,500,-200
1280x720,608,598,500,0
1280x720,972,601,500,200
1280x720,387,498,1000,-200
1280x720,608,502,1000,0
1280x720,826,503,1000,200
1280x720,487,433,2000,-200
1280x720,608,434,2000,0
1280x720,725,435,2000,200
1280x720,524,411,3000,-200
1280x720,608,411,3000,0
1280x720,688,412,3000,200
1280x720,543,398,4000,-200
1280x720,608,399,4000,0
1280x720,668,399,4000,200
1280x720,555,391,5000,-200
1280x720,608,391,5000,0
1280x720,655,392,5000,200
