解析度,像素X,像素Y,世界X_深度_cm,世界Y_橫向_cm
1920x1080,194,676,300,-200
1920x1080,637,553,300,0
1920x1080,1111,693,300,200
1920x1080,251,598,500,-200
1920x1080,635,449,500,0
1920x1080,984,609,500,200
1920x1080,392,505,1000,-200
1920x1080,630,343,1000,0
1920x1080,828,508,1000,200
1920x1080,489,442,2000,-200
1920x1080,629,277,2000,0
1920x1080,730,445,2000,200
1920x1080,562,418,3000,-200
1920x1080,632,258,3000,0
1920x1080,690,419,3000,200
1920x1080,454,405,4000,-200
1920x1080,632,244,4000,0
1920x1080,471,407,4000,200
1920x1080,557,397,5000,-200
1920x1080,632,234,5000,0
1920x1080,658,398,5000,200
1920x1080,565,392,6000,-200
1920x1080,632,231,6000,0
1920x1080,650,393,6000,200
