x,y
0.000000,0.000000
0.999988,0.004167
1.999907,0.016666
2.999688,0.037498
3.999259,0.066660
4.998553,0.104152
5.997500,0.149969
6.996031,0.204109
7.994075,0.266568
8.991565,0.337342
9.988430,0.416426
10.984601,0.503814
11.980010,0.599500
12.974587,0.703478
13.968262,0.815741
14.960968,0.936280
15.952635,1.065087
16.943194,1.202154
17.932576,1.347471
18.920713,1.501027
19.907536,1.662812
20.892977,1.832815
21.876966,2.011024
22.859437,2.197427
23.840320,2.392011
24.819547,2.594761
25.797051,2.805665
26.772763,3.024707
27.746617,3.251873
28.718543,3.487145
29.688475,3.730509
30.656345,3.981948
31.622087,4.241443
32.585632,4.508976
33.546915,4.784530
34.505868,5.068085
35.462425,5.359621
36.416519,5.659119
37.368084,5.966556
38.317054,6.281913
39.263364,6.605166
40.206946,6.936295
41.147737,7.275274
42.085670,7.622082
43.020681,7.976694
43.952703,8.339085
44.881674,8.709231
45.807528,9.087105
46.730201,9.472681
47.649629,9.865932
48.565748,10.266832
49.478494,10.675352
50.387804,11.091464
51.293615,11.515139
52.195864,11.946348
53.094488,12.385060
53.989426,12.831246
54.880614,13.284873
55.767991,13.745912
56.651495,14.214329
57.531065,14.690093
58.406639,15.173169
59.278158,15.663525
60.145561,16.161127
61.008786,16.665940
61.867775,17.177928
62.722467,17.697057
63.572804,18.223291
64.418726,18.756592
65.260175,19.296924
66.097092,19.844249
66.929418,20.398529
67.757097,20.959726
68.580070,21.527801
69.398281,22.102714
70.211673,22.684426
71.020189,23.272895
71.823773,23.868082
72.622369,24.469944
73.415922,25.078441
74.204376,25.693529
74.987678,26.315166
75.765772,26.943309
76.538605,27.577914
77.306122,28.218938
78.068272,28.866335
78.824999,29.520060
79.576253,30.180069
80.321981,30.846316
81.062131,31.518754
81.796651,32.197336
82.525491,32.882015
83.248601,33.572745
83.965929,34.269476
84.677426,34.972161
85.383043,35.680750
86.082731,36.395195
86.776441,37.115446
87.464124,37.841452
88.145734,38.573164
88.821222,39.310531
89.490543,40.053501
90.153649,40.802022
90.810494,41.556044
91.461033,42.315513
92.105220,43.080377
92.743012,43.850582
93.374363,44.626076
93.999229,45.406804
94.617568,46.192712
95.229336,46.983745
95.834492,47.779849
96.432992,48.580968
97.024795,49.387047
97.609861,50.198029
98.188148,51.013859
98.759616,51.834479
99.324227,52.659834
99.881939,53.489864
100.432716,54.324513
100.976518,55.163723
101.513308,56.007436
102.043049,56.855592
102.565703,57.708134
103.081234,58.565001
103.589608,59.426134
104.090787,60.291474
104.584738,61.160961
105.071426,62.034533
105.550818,62.912131
106.022880,63.793693
106.487579,64.679158
106.944883,65.568465
107.394761,66.461552
107.837180,67.358357
108.272111,68.258818
108.699523,69.162872
109.119387,70.070456
109.531673,70.981507
109.936352,71.895962
110.333398,72.813758
110.722781,73.734831
111.104475,74.659117
111.478453,75.586551
111.844690,76.517069
112.203160,77.450608
112.553839,78.387100
112.896701,79.326483
113.231723,80.268690
113.558882,81.213657
113.878154,82.161317
114.189519,83.111604
114.492954,84.064453
114.788438,85.019798
115.075950,85.977572
115.355472,86.937708
115.626982,87.900141
115.890463,88.864802
116.145896,89.831626
116.393264,90.800545
116.632548,91.771491
116.863733,92.744398
117.086803,93.719198
117.301742,94.695822
117.508534,95.674204
117.707167,96.654275
117.897625,97.635967
118.079896,98.619213
118.253968,99.603943
118.419827,100.590089
118.577462,101.577584
118.726863,102.566358
118.868020,103.556342
119.000921,104.547468
119.125559,105.539668
119.241924,106.532871
119.350008,107.527010
119.449805,108.522015
119.541306,109.517817
119.624506,110.514347
119.699398,111.511536
119.765979,112.509314
119.824242,113.507612
119.874184,114.506362
119.915801,115.505492
119.949091,116.504935
119.974052,117.504621
119.990681,118.504480
119.998977,119.504442
119.998940,120.504439
119.990570,121.504401
119.973867,122.504259
119.948832,123.503943
119.915468,124.503383
119.873777,125.502511
119.823761,126.501256
119.765424,127.499550
119.698770,128.497323
119.623803,129.494507
119.540530,130.491030
119.448955,131.486826
