x,y
0.000000,0.000000
1.000000,1.569180
2.000000,3.128690
3.000000,4.668910
4.000000,6.180340
5.000000,7.653670
6.000000,9.079810
7.000000,10.449970
8.000000,11.755710
9.000000,12.988960
10.000000,14.142140
11.000000,15.208120
12.000000,16.180340
13.000000,17.052800
14.000000,17.820130
15.000000,18.477590
16.000000,19.021130
17.000000,19.447400
18.000000,19.753770
19.000000,19.938350
20.000000,20.000000
21.000000,19.938350
22.000000,19.753770
23.000000,19.447400
24.000000,19.021130
25.000000,18.477590
26.000000,17.820130
27.000000,17.052800
28.000000,16.180340
29.000000,15.208120
30.000000,14.142140
31.000000,12.988960
32.000000,11.755710
33.000000,10.449970
34.000000,9.079810
35.000000,7.653670
36.000000,6.180340
37.000000,4.668910
38.000000,3.128690
39.000000,1.569180
40.000000,0.000000
41.000000,-1.569180
42.000000,-3.128690
43.000000,-4.668910
44.000000,-6.180340
45.000000,-7.653670
46.000000,-9.079810
47.000000,-10.449970
48.000000,-11.755710
49.000000,-12.988960
50.000000,-14.142140
51.000000,-15.208120
52.000000,-16.180340
53.000000,-17.052800
54.000000,-17.820130
55.000000,-18.477590
56.000000,-19.021130
57.000000,-19.447400
58.000000,-19.753770
59.000000,-19.938350
60.000000,-20.000000
61.000000,-19.938350
62.000000,-19.753770
63.000000,-19.447400
64.000000,-19.021130
65.000000,-18.477590
66.000000,-17.820130
67.000000,-17.052800
68.000000,-16.180340
69.000000,-15.208120
70.000000,-14.142140
71.000000,-12.988960
72.000000,-11.755710
73.000000,-10.449970
74.000000,-9.079810
75.000000,-7.653670
76.000000,-6.180340
77.000000,-4.668910
78.000000,-3.128690
79.000000,-1.569180
80.000000,-0.000000
81.000000,1.569180
82.000000,3.128690
83.000000,4.668910
84.000000,6.180340
85.000000,7.653670
86.000000,9.079810
87.000000,10.449970
88.000000,11.755710
89.000000,12.988960
90.000000,14.142140
91.000000,15.208120
92.000000,16.180340
93.000000,17.052800
94.000000,17.820130
95.000000,18.477590
96.000000,19.021130
97.000000,19.447400
98.000000,19.753770
99.000000,19.938350
100.000000,20.000000
101.000000,19.938350
102.000000,19.753770
103.000000,19.447400
104.000000,19.021130
105.000000,18.477590
106.000000,17.820130
107.000000,17.052800
108.000000,16.180340
109.000000,15.208120
110.000000,14.142140
111.000000,12.988960
112.000000,11.755710
113.000000,10.449970
114.000000,9.079810
115.000000,7.653670
116.000000,6.180340
117.000000,4.668910
118.000000,3.128690
119.000000,1.569180
120.000000,0.000000
121.000000,-1.569180
122.000000,-3.128690
123.000000,-4.668910
124.000000,-6.180340
125.000000,-7.653670
126.000000,-9.079810
127.000000,-10.449970
128.000000,-11.755710
129.000000,-12.988960
130.000000,-14.142140
131.000000,-15.208120
132.000000,-16.180340
133.000000,-17.052800
134.000000,-17.820130
135.000000,-18.477590
136.000000,-19.021130
137.000000,-19.447400
138.000000,-19.753770
139.000000,-19.938350
140.000000,-20.000000
141.000000,-19.938350
142.000000,-19.753770
143.000000,-19.447400
144.000000,-19.021130
145.000000,-18.477590
146.000000,-17.820130
147.000000,-17.052800
148.000000,-16.180340
149.000000,-15.208120
150.000000,-14.142140
151.000000,-12.988960
152.000000,-11.755710
153.000000,-10.449970
154.000000,-9.079810
155.000000,-7.653670
156.000000,-6.180340
157.000000,-4.668910
158.000000,-3.128690
159.000000,-1.569180
160.000000,-0.000000
161.000000,1.569180
162.000000,3.128690
163.000000,4.668910
164.000000,6.180340
165.000000,7.653670
166.000000,9.079810
167.000000,10.449970
168.000000,11.755710
169.000000,12.988960
170.000000,14.142140
171.000000,15.208120
172.000000,16.180340
173.000000,17.052800
174.000000,17.820130
175.000000,18.477590
176.000000,19.021130
177.000000,19.447400
178.000000,19.753770
179.000000,19.938350
180.000000,20.000000
181.000000,19.938350
182.000000,19.753770
183.000000,19.447400
184.000000,19.021130
185.000000,18.477590
186.000000,17.820130
187.000000,17.052800
188.000000,16.180340
189.000000,15.208120
190.000000,14.142140
191.000000,12.988960
192.000000,11.755710
193.000000,10.449970
194.000000,9.079810
195.000000,7.653670
196.000000,6.180340
197.000000,4.668910
198.000000,3.128690
199.000000,1.569180
200.000000,0.000000
