x,y
0.000000,0.000000
0.125496,0.015961
0.244959,0.063335
0.352515,0.140603
0.442611,0.245276
0.510160,0.373950
0.550682,0.522394
0.560433,0.685648
0.536509,0.858147
0.476943,1.033853
0.380767,1.206408
0.248063,1.369290
0.079983,1.515977
-0.121254,1.640116
-0.352389,1.735688
-0.609176,1.797168
-0.886460,1.819677
-1.178275,1.799121
-1.477963,1.732321
-1.778314,1.617114
-2.071720,1.452443
-2.350340,1.238420
-2.606276,0.976361
-2.831756,0.668803
-3.019314,0.319488
-3.161974,-0.066679
-3.253425,-0.483695
-3.288182,-0.924557
-3.261745,-1.381373
-3.170726,-1.845506
-3.012973,-2.307733
-2.787653,-2.758419
-2.495326,-3.187709
-2.137979,-3.585729
-1.719042,-3.942787
-1.243369,-4.249587
-0.717184,-4.497431
-0.148013,-4.678421
0.455431,-4.785647
1.083375,-4.813361
1.725148,-4.757135
2.369358,-4.613994
3.004097,-4.382526
3.617153,-4.062964
4.196240,-3.657239
4.729234,-3.168996
5.204412,-2.603584
5.610692,-1.968010
5.937864,-1.270858
6.176814,-0.522179
6.319731,0.266655
6.360296,1.083122
6.293847,1.913747
6.117518,2.744327
5.830348,3.560172
5.433358,4.346361
4.929586,5.088011
4.324099,5.770555
3.623956,6.380011
2.838134,6.903265
1.977426,7.328325
1.054293,7.644574
0.082686,7.843004
-0.922163,7.916417
-1.943982,7.859611
-2.965720,7.669523
-3.969832,7.345342
-4.938579,6.888584
-5.854339,6.303127
-6.699920,5.595205
-7.458880,4.773354
-8.115835,3.848324
-8.656754,2.832943
-9.069243,1.741944
-9.342803,0.591755
-9.469057,-0.599751
-9.441952,-1.813531
-9.257918,-3.029675
-8.915988,-4.227737
-8.417879,-5.387071
-7.768023,-6.487195
-6.973550,-7.508137
-6.044231,-8.430804
-4.992365,-9.237323
-3.832623,-9.911384
-2.581852,-10.438546
-1.258826,-10.806538
0.116027,-11.005505
1.520947,-11.028238
2.933182,-10.870348
4.329356,-10.530405
5.685861,-10.010018
6.979248,-9.313878
8.186634,-8.449733
9.286102,-7.428326
10.257094,-6.263266
11.080787,-4.970857
11.740445,-3.569874
12.221745,-2.081293
12.513068,-0.527977
12.605744,1.065672
12.494256,2.674098
12.176396,4.271000
11.653358,5.829763
10.929785,7.323901
10.013755,8.727502
8.916703,10.015680
7.653295,11.165006
6.241236,12.153935
4.701028,12.963193
3.055674,13.576147
1.330338,13.979128
-0.448039,14.161708
-2.251161,14.116937
-4.049829,13.841511
-5.814408,13.335896
-7.515319,12.604379
-9.123534,11.655062
-10.611067,10.499788
-11.951460,9.154007
-13.120248,7.636578
-14.095396,5.969506
-14.857712,4.177629
-15.391201,2.288251
-15.683392,0.330726
-15.725593,-1.664002
-15.513097,-3.663879
-15.045322,-5.636266
-14.325883,-7.548464
-13.362597,-9.368259
-12.167415,-11.064463
-10.756287,-12.607445
-9.148960,-13.969645
-7.368702,-15.126062
-5.441974,-16.054704
-3.398035,-16.736996
-1.268502,-17.158137
0.913141,-17.307399
3.112068,-17.178359
5.292668,-16.769072
7.419118,-16.082162
9.455978,-15.124842
11.368774,-13.908864
13.124583,-12.450382
14.692595,-10.769749
16.044652,-8.891239
17.155746,-6.842702
18.004471,-4.655148
18.573426,-2.362286
18.849556,-0.000000
